ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000010288,0,16.01,8.88,12.37,13.53,10.95,13.11,0
ENSMLUG00000013672,20.25,10.06,9.66,11.59,27.05,25.86,27.05,33.01
ENSMLUG00000004453,82.02,35.53,45.34,21.7,44.64,14.04,61.71,51.44
ENSMLUG00000009427,64.42,83.8,89.8,74.01,110.54,96.99,72.35,62.02
ENSMLUG00000003000,57.71,21.09,27.61,26.39,48.71,57.03,45.22,72.48
ENSMLUG00000000319,230.56,150.75,239.07,219.45,305.82,243.67,146.8,142.67
ENSMLUG00000001051,0,0,0,0,0,3.63,0,0
ENSMLUG00000012927,62.67,45.05,39.39,19,79.75,72.55,32.67,57.84
ENSMLUG00000011736,0,10.39,3.4,3.88,18.8,0,6.76,0
ENSMLUG00000001091,103.11,61.07,55.57,103.33,83.55,174.6,112.48,248.81
ENSMLUG00000008692,22.71,22.95,9.72,4.21,11.81,14.26,11.83,8.07
ENSMLUG00000010936,22.25,10.43,12.46,18.47,22.53,27.55,19.97,24.81
ENSMLUG00000016689,10.21,0,4.65,0,9.08,6.07,3.83,2.92
ENSMLUG00000002723,32.3,27.13,16.35,15.13,29.77,50.74,53.96,31.6
ENSMLUG00000008084,0,0,0,2.47,0,3.3,0,7.66
ENSMLUG00000014034,23.13,23.25,37.77,30.25,51.07,49.81,25.5,20.06
ENSMLUG00000026131,64.43,45.92,98.63,41.87,57.72,76.06,55.56,39.83
ENSMLUG00000009877,68.92,47.17,46.14,29.02,95.76,41.15,65.2,141.61
ENSMLUG00000012151,124.81,105.39,194.3,112.97,96.62,59.23,97.81,66.14
ENSMLUG00000026470,17.95,19.28,16.27,5.58,12.19,70.05,26.86,57.45
ENSMLUG00000025622,28.48,34.02,54.55,0,16.19,0,15.68,19.16
ENSMLUG00000014145,21.54,24.13,61.01,69.15,62.71,27.26,39.31,55.49
ENSMLUG00000002465,15.92,27.23,21.93,24.86,134.43,48.35,29.17,25.58
ENSMLUG00000023540,16.08,0,24.51,20.91,9.44,15.3,71.39,30.7
ENSMLUG00000008912,84.81,67.94,79.48,81.12,129.74,129.08,125.48,103.93
ENSMLUG00000016853,18.77,9.39,20.6,35.19,40.72,17.11,16.18,20.81
ENSMLUG00000003806,24.79,0,20.01,5.42,38.45,0,12.3,0
ENSMLUG00000000306,13.06,15.21,27.55,21.46,31.18,76.76,22.68,11.39
ENSMLUG00000011242,46.78,21.69,10.27,10.08,28.97,0,0,18.74
ENSMLUG00000003499,6.98,6.47,0,12.54,38.84,20.27,34.73,0
ENSMLUG00000015032,31.3,11.74,25.5,27.49,12.95,22.28,20.39,0
ENSMLUG00000011038,0,0,4.67,4.77,14.43,42.66,0,69.36
ENSMLUG00000014333,20.22,13.59,10.98,9.24,12.82,17.07,14.03,12.75
ENSMLUG00000024007,30,25.42,24.24,12.4,26.04,48.14,23.32,29.61
ENSMLUG00000002917,0,13.55,9.16,7.08,30.11,9.94,5.53,11.78
ENSMLUG00000029641,11.54,8.67,15.77,9.36,7.68,11.94,6.72,11.67
ENSMLUG00000011273,17.82,8.31,24.16,16.64,25.65,9.76,22.12,7.71
ENSMLUG00000015349,0,4.78,7.7,6.57,8.93,14.57,0,0
ENSMLUG00000017427,90.91,165.11,227.78,303.63,120.87,91.51,124.42,65.95
ENSMLUG00000014990,8.01,91.96,100.35,52.81,5.91,15.22,3.33,14.58
ENSMLUG00000011667,17.25,10.4,13.85,0,103.94,8.25,13.33,0
ENSMLUG00000001539,7.34,5.39,4.89,4.43,36.01,7.71,15.67,12.39
ENSMLUG00000010617,26.18,22.38,13.19,22.98,20.65,24.97,23.24,39.22
ENSMLUG00000013402,96.7,67.43,63.59,55.73,56.27,56.25,80.57,45.19
ENSMLUG00000000798,20.15,16.2,15.87,9.05,0,20.54,17.56,7.75
ENSMLUG00000010482,0,0,0,0,0,0,0,46.42
ENSMLUG00000002755,29.18,45.47,22.51,29.34,41.28,25.86,22.51,16.81
ENSMLUG00000009596,0,0,0,4.08,0,6.56,0,8.48
ENSMLUG00000011859,64.52,52.3,88.86,48.15,64.93,74.24,73.76,55.46
ENSMLUG00000015171,46.79,37.41,16.53,12.09,32.98,0,0,0
ENSMLUG00000010559,34.44,19.65,22.94,13.57,27.48,21.82,45.47,35.43
ENSMLUG00000003814,21.89,14.48,13.46,7,22.76,15.39,20.73,11.49
ENSMLUG00000009453,0,0,11.25,5.48,39.14,0,22.42,4.37
ENSMLUG00000001803,27.68,8.69,6.09,6.18,0,0,16.69,12.25
ENSMLUG00000000009,0,0,0,3.68,8.67,11.51,9.09,0
ENSMLUG00000003690,8.67,7.97,29.15,31.17,143.38,47.15,10.08,16.49
ENSMLUG00000005540,13.48,21.21,9.73,12.52,12.02,15.06,11.78,11.52
ENSMLUG00000007527,87.98,68.04,41.21,30.25,45.71,30.14,39.97,60.52
ENSMLUG00000010540,52.98,47.1,66.43,58.46,52.35,77.87,58.49,53.58
ENSMLUG00000027759,2.93,5.3,3.77,4.41,10.38,0,3.38,4.69
ENSMLUG00000015149,52.55,54.77,56.03,51.4,33.68,232.49,34.41,40.13
ENSMLUG00000005582,20.28,17.19,26.03,19.17,69.35,22.83,35.57,23.4
ENSMLUG00000013554,59.13,41.98,153.49,96.7,46.21,25.97,70.65,28.68
ENSMLUG00000006898,32.81,86.77,29.95,28.11,24.41,23.29,53.35,37.61
ENSMLUG00000002825,24.1,15.2,13.67,16.72,15.39,11.88,11.19,16.14
